,role,company_name,work_experience,location,skills,post_date
92,Microsoft Power BI/Data Analyst Executive,Wenour Enterprises,0-1 Yrs,Mohali,"['Power Bi', 'Power Bi Reports', 'Power Bi Dashboards', 'Excel', 'SQL Server Reporting Services', 'Microsoft Power Bi', 'SQL Database', 'Reporting']",16 Days Ago
93,Data Analyst Trainee,ZenCorp Techno Solutions(ZCTS),0-1 Yrs,Coimbatore,"['R', 'data mining', 'SQL', 'Java', 'C++', 'data analysis', 'Scala', 'machine learning']",24 Days Ago
94,DATA ANALYST INTERN,VR Careerz,,Chennai,[],Starts in 1-3 months
95,Data Analyst Intern,Wadhwani Ai,0-1 Yrs,Mumbai,"['Computer science', 'Data analysis', 'Data management', 'Analytical', 'Healthcare', 'power bi', 'data visualization', 'Operations']",30+ Days Ago
96,Data Analyst Intern,A One Salasar Pvt Ltd,0-1 Yrs,"Mumbai, Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)","['Data Interpretation', 'Data Collection', 'Data Analytics', 'Data Anlalytics', 'Communication Skills', 'Presentation Skills', 'Report Making', 'Data analysis']",15 Days Ago
97,Data Analyst Trainee,Wahy Lab Solutions,0-1 Yrs,Ernakulam,"['Computer science', 'deep learning', 'Data analysis', 'data science', 'Coding', 'Machine learning', 'power bi', 'Data Analyst']",25 Days Ago
98,Data Analyst / Web Researcher,Myvirtualdesks,0-3 Yrs,Pune,"['Data analysis', 'Web technologies', 'Data Analyst', 'Data analytics', 'data visualization', 'Management', 'Forecasting', 'Testing']",30+ Days Ago
99,Data Analyst-Fielding Operations,NAILBITER,0-3 Yrs,Mumbai,"['Brand positioning', 'Purchase', 'Collection management', 'Market segmentation', 'Market research', 'Data Analyst', 'HR', 'MS Office']",30+ Days Ago
100,Assistant Cum Data Analyst,Institute Of Personality Development (ipd),0-6 Yrs,Aurangabad,"['Digital media', 'Media marketing', 'Usage', 'Business reporting', 'Corporate affairs', 'Director', 'Data Analyst', 'Internship']",30+ Days Ago
101,Data Analyst Intern,TechKnowledgeHub.org,,Remote,[],Starts in 1-3 months
102,Data Analyst ( Fresher ),Onpoint Insights,0-2 Yrs,"Mumbai, Mumbai Suburban","['SAS', 'Analytical', 'Machine learning', 'Predictive modeling', 'Pattern recognition', 'Data mining', 'Operations', 'SQL']",30+ Days Ago
103,Associate Data Analyst,Xenonstack,,Mohali,[],Starts in 1-3 months
104,Marketing Data Analyst,Radicle Software,0-3 Yrs,Gurugram,"['Google Marketing', 'Google Analytics', 'MySQL', 'Marketing Analytics', 'Data Analytics', 'Google Ads', 'Marketing Strategy', 'Facebook Marketing']",22 Days Ago
105,Jr. Data Analyst,VNC Global Business Edge,0-1 Yrs,Vadodara,"['Computer science', 'Business analysis', 'SSRS', 'OLAP', 'Unit testing', 'SSIS', 'Business intelligence', 'microsoft']",30+ Days Ago
106,Consultant - Data Analyst,RGA,0-1 Yrs,Mumbai,"['Reinsurance', 'Data validation', 'SAS', 'Underwriting', 'Analytical', 'Reconciliation', 'Actuarial', 'Risk management']",30+ Days Ago
107,Data Analyst Advanced Analytics,Perceptive Analytics,0-3 Yrs,Hyderabad,"['advanced analytics', 'Talent acquisition', 'Analytical', 'Artificial Intelligence', 'Machine learning', 'Data Analyst', 'Data analytics', 'Internship']",30+ Days Ago
108,Data Analyst Internship,Travel D'globe,,New Delhi,[],Starts in 1-3 months
109,RBHU Analytics - Data Analyst Trainee - R/Python,Rbhu Etg,0-2 Yrs,Mumbai,"['Data Analyst', 'Data Science', 'R', 'Power BI', 'Data Analytics', 'Python', 'SQL', 'Data']",30+ Days Ago
110,Data Analyst - Consumer Spend Research,Web Spiders,0-4 Yrs,Kolkata,"['IT services', 'Online research', 'SAN', 'Basic', 'Project management', 'Analytical', 'Market research', 'Wellness']",30+ Days Ago
111,DIGITAL DATA ANALYST INTERN,DG7 Solutions,,"Mumbai, Vasai",[],Starts in 1-3 months
112,Analyst - Data Science,AMERICAN EXPRESS,0-3 Yrs,Gurugram,"['Text mining', 'Career development', 'Coding', 'Analytical', 'Machine learning', 'model development', 'Risk management', 'Python']",4 Days Ago
113,Index Data Research Analyst / Junior Analyst,Institutional Shareholder Services,0-2 Yrs,Mumbai,"['Junior Analyst', 'Data analysis', 'Manager Quality Assurance', 'French', 'Data Research Analyst', 'German', 'Spanish', 'MS Office']",4 Days Ago
114,"Associate, Data Management & Quantitative Analysis I",BNY Mellon,0-2 Yrs,Pune,"['Analyst', 'Data management', 'Bloomberg', 'MS Access', 'Analytical', 'Structured finance', 'Asset management', 'Legal documentation']",21 Days Ago
115,"Associate, Data Management & Quantitative Analysis II",BNY Mellon,0-2 Yrs,Pune,"['Claims', 'Data management', 'Bloomberg', 'Analytical', 'Reconciliation', 'Incident management', 'Manager Quality Control', 'Asset management']",30+ Days Ago
116,Senior Analyst-Data Science,Resy,0-3 Yrs,Gurugram,"['Text mining', 'Computer science', 'Career development', 'Finance', 'Analytical', 'Artificial Intelligence', 'Machine learning', 'Wellness']",29 Days Ago
117,Performance Marketing Data Insights Sr. Analyst,Synchrony,0-2 Yrs,Hyderabad,"['SAS', 'Tableau', 'Campaign Execution', 'SQL', 'Agile', 'Performance Marketing', 'Data', 'Performance']",30 Days Ago
118,Analyst Data science,Leading Client,0-5 Yrs,"Pune, Chennai, Bengaluru","['Data Science', 'Data Warehouse SQL', 'analyst', 'Data Analyst', 'data mining data cleaning', 'Data Warehouse', 'Data Analyst Data Science python machine learning problem solving SQL', 'Research']",30+ Days Ago
119,Private Equity Intelligence - Data Management Analyst,Gain.pro,0-1 Yrs,Bengaluru,"['Economics', 'Investment research', 'SAAS', 'data management analyst', 'Investment banking', 'Research', 'Private equity', 'Financial research']",30+ Days Ago
120,Data Research Analyst,William O Neil Co,0-5 Yrs,Bengaluru,"['Training', 'Investment products', 'Financial markets', 'Investment research', 'Data Research Analyst', 'Database', 'business rules', 'Data quality']",30+ Days Ago
121,Analyst,Saarthee,0-3 Yrs,Gurugram,"['Mining', 'Health insurance', 'Data analysis', 'HP data protector', 'Analytical', 'Consulting', 'Data analytics', 'Business strategy']",30+ Days Ago
122,Data Scientist,Ericsson,0-3 Yrs,Bengaluru,"['Data analysis', 'Data validation', 'Coding', 'Neural networks', 'Machine learning', 'Data quality', 'Forecasting', 'SQL']",30+ Days Ago
123,We are hiring 2023 graduates For Data Support Analyst- Mr Cooper Group,NSM Services,0-1 Yrs,Chennai,"['SQL Queries', 'SSIS', 'Sql Support', 'Data', 'MR', 'Data analysis', 'Hiring', 'SQL']",30+ Days Ago
124,Data Research Analyst,HQL Solutions,0-3 Yrs,Pune,"['Mining', 'B2B', 'PDF', 'Legal', 'Data collection', 'Data Research Analyst', 'Representative', 'research']",30+ Days Ago
125,Analyst - Data Architect,CPP Investments,0-1 Yrs,Gurugram,"['Customer acquisition', 'DSP', 'Analytical skills', 'Data management', 'Digital marketing', 'Individual Contributor', 'MS Office', 'digital advertising']",30+ Days Ago
126,"Analyst, Finance Data Maintenance",Luminar Technologies,0-4 Yrs,New Delhi,"['IT services', 'ERP', 'Production support', 'Financial reporting', 'External audit', 'Accounting', 'Accounting operations', 'Customer service']",30+ Days Ago
127,Analyst - Data Science,Resy,0-3 Yrs,Gurugram,"['Text mining', 'Career development', 'Coding', 'Analytical', 'Machine learning', 'model development', 'Risk management', 'Python']",28 Days Ago
128,Data Engineer - Python,Busigence Technologies,0-3 Yrs,Remote,"['deep learning', 'Data analysis', 'data science', 'Machine learning', 'HTTP', 'Natural language processing', 'Data analytics', 'Business intelligence']",30+ Days Ago
129,Analyst,Grant Thornton India Pvt Ltd,0-1 Yrs,Bengaluru,"['Data analysis', 'Analytical', 'Project management', 'Financial analytics', 'Financial planning', 'power bi', 'Budgeting', 'microsoft']",17 Days Ago
130,Data Research Analyst - Ahmedabad,Oases Technovations,0-4 Yrs,Ahmedabad,"['Capital Markets', 'Investment Banking', 'Data collation', 'MAPE', 'Equity', 'Investment', 'Capital market', 'Data research']",22 Days Ago
131,Senior Analyst,Business Toys,0-3 Yrs,Bengaluru,"['Senior Analyst', 'Analysis', 'Senior']",4 Days Ago
132,Data Scientist,Hbic Solutions,0-2 Yrs,Hyderabad,"['deep learning', 'data science', 'Artificial Intelligence', 'Data collection', 'Packaging', 'Data analytics', 'Python', 'Testing']",30+ Days Ago
133,Principal Data Scientist/Senior Data Scientist/Data Scientist,Business Toys,0-5 Yrs,New Delhi,['Principal'],4 Days Ago
134,Principal Data Scientist/Senior Data Scientist,Business Toys,0-5 Yrs,"Noida, Gurugram","['Machine learning', 'Principal', 'Machine', 'Data', 'Senior']",4 Days Ago
135,Principal Data Scientist/Senior Data Scientist/Data Scientist - NLP,Business Toys,0-5 Yrs,New Delhi,"['Principal', 'Data', 'Natural language processing', 'Senior']",4 Days Ago
136,Principal Data Scientist/Senior Data Scientist/Data Scientist - NLP/ML,Business Toys,0-5 Yrs,New Delhi,"['Principal', 'Natural language processing', 'Data', 'Ml', 'Senior']",4 Days Ago
137,Principal Data Scientist/Senior Data Scientist/Data Scientist - NLP/ML,Business Toys,0-5 Yrs,"New Delhi, Gurugram","['Principal', 'Senior', 'Ml', 'Natural language processing', 'Data']",4 Days Ago
138,Principal Data Scientist/ Sr Data Scientist/ Data Scientist - NLP,Business Toys,0-5 Yrs,"Noida, Gurugram","['Principal', 'SR', 'Natural language processing', 'Data']",4 Days Ago
139,Principal Data Scientist /Senior Data Scientist - NLP/Machine Learning,Business Toys,0-5 Yrs,New Delhi,"['Machine learning', 'Principal', 'Machine', 'Natural language processing', 'Data', 'Senior']",4 Days Ago
140,Principal Data Scientist / Senior Data Scientist - NLP/ ML,Business Toys,0-5 Yrs,New Delhi,"['Principal', 'Senior', 'Ml', 'Natural language processing', 'Data']",4 Days Ago
141,Senior Data Scientist,Business Toys,0-1 Yrs,Mumbai,['Senior Data Scientist'],4 Days Ago
142,Principal Data Scientist / Senior Data Scientist,Business Toys,0-5 Yrs,New Delhi,['Principal'],4 Days Ago
143,Principal Data Scientist / Sr. Data Scientist / Data Scientist- NLP/ML,Business Toys,0-5 Yrs,New Delhi,"['Principal', 'Natural language processing', 'Data', 'Ml', 'SR']",4 Days Ago
